Activity Name,Activity Type,Park ID,Park Name,Timings,Height Restrictions,URL,Location Lat,Location Lng
Disney Festival of Fantasy Parade,Entertainment,80007944,Magic Kingdom Park,"12:00:00 to 12:00:00, 15:00:00 to 15:00:00",,https://disneyworld.disney.go.com/entertainment/magic-kingdom/festival-fantasy-parade/,28.4189548,-81.581198
Feathered Friends in Flight!,Entertainment,80007823,Disney's Animal Kingdom Theme Park,"10:30:00 to 10:30:00, 11:30:00 to 11:30:00, 13:30:00 to 13:30:00, 14:30:00 to 14:30:00, 15:30:00 to 15:30:00",,https://disneyworld.disney.go.com/entertainment/animal-kingdom/feathered-friends/,28.358791,-81.590061
Meet Mulan in China,Entertainment,80007838,EPCOT,,,https://disneyworld.disney.go.com/entertainment/epcot/character-meet-mulan/,28.3698563364835,-81.5461904203374
Meet the Toys in Toy Story Land,Entertainment,80007998,Disney's Hollywood Studios,,,https://disneyworld.disney.go.com/entertainment/hollywood-studios/character-meet-woody-jessie-buzz-lightyear/,28.356184,-81.56207
Meet Ariel at Her Grotto,Entertainment,80007944,Magic Kingdom Park,10:00:00 to 19:00:00,,https://disneyworld.disney.go.com/entertainment/magic-kingdom/character-meet-ariel-grotto-fantasyland/,28.4208933,-81.579613
Mickey & Friends,Entertainment,80007798,,,,https://disneyworld.disney.go.com/entertainment/mickey-and-friends/,28.370176,-81.517283
Meet Disney Junior Pals in Animation Courtyard,Entertainment,80007998,Disney's Hollywood Studios,"09:30:00 to 09:30:00, 10:00:00 to 10:00:00, 10:30:00 to 10:30:00, 11:00:00 to 11:00:00, 11:30:00 to 11:30:00, 12:00:00 to 12:00:00, 12:30:00 to 12:30:00, 13:00:00 to 13:00:00, 13:30:00 to 13:30:00, 14:00:00 to 14:00:00, 14:30:00 to 14:30:00, 15:00:00 to 15:00:00, 15:30:00 to 15:30:00, 16:00:00 to 16:00:00, 16:30:00 to 16:30:00",,https://disneyworld.disney.go.com/entertainment/hollywood-studios/character-meet-disney-junior/,28.357822,-81.560658
Yehaa Bob Jackson at River Roost Lounge,Entertainment,80010397,Disney's Port Orleans Resort - Riverside,00:00:00 to 23:59:00,,https://disneyworld.disney.go.com/entertainment/port-orleans-resort-riverside/yehaa-bob-jackson-at-river-roost/,28.3864921,-81.5369
Fantasmic!,Entertainment,80007998,Disney's Hollywood Studios,"20:30:00 to 20:30:00, 22:00:00 to 22:00:00",,https://disneyworld.disney.go.com/entertainment/hollywood-studios/fantasmic/,28.3612252,-81.558233
Grand Floridian Lobby Pianist,Entertainment,80010384,Disney's Grand Floridian Resort & Spa,"15:00:00 to 15:00:00, 16:00:00 to 16:00:00, 17:00:00 to 17:00:00, 18:15:00 to 18:15:00, 19:15:00 to 19:15:00",,https://disneyworld.disney.go.com/entertainment/grand-floridian-resort-and-spa/grand-floridian-lobby-pianist/,28.4109537,-81.587711
Wonderful World of Animation,Entertainment,80007998,Disney's Hollywood Studios,21:00:00 to 21:00:00,,https://disneyworld.disney.go.com/entertainment/hollywood-studios/wonderful-world-of-animation/,28.356965,-81.560425
